event_activity,event_timestamp,order,item,delivery,event_id
Confirm Order,92975,"{""order155""}","{""item310"",""item311""}",{},1012
Load Cargo,93277,{},"{""item300"",""item304""}","{""delivery97""}",1013
Payment Reminder,93286,"{""order155""}",{},{},1014
Item out of stock,93285,{},"{""item311""}",{},1015
Pick Item,93286,{},"{""item310""}",{},1016
Reorder Item,93286,{},"{""item311""}",{},1017
End Route,93559,{},"{""item216"",""item220""}","{""delivery67""}",1018
Place Order,93576,"{""order156""}","{""item313"",""item312""}",{},1019
Confirm Order,93577,"{""order156""}","{""item313"",""item312""}",{},1020
Load Cargo,93819,{},"{""item307"",""item305""}","{""delivery83""}",1021
Item out of stock,93895,{},"{""item313""}",{},1022
Pay Order,93896,"{""order156""}",{},{},1023
Item out of stock,93895,{},"{""item312""}",{},1024
Reorder Item,93896,{},"{""item312""}",{},1025
Reorder Item,93896,{},"{""item313""}",{},1026
Place Order,94173,"{""order157""}","{""item314"",""item315""}",{},1027
Confirm Order,94174,"{""order157""}","{""item314"",""item315""}",{},1028
Item out of stock,94473,{},"{""item315""}",{},1029
Item out of stock,94473,{},"{""item314""}",{},1030
Reorder Item,94474,{},"{""item315""}",{},1031
Reorder Item,94474,{},"{""item314""}",{},1032
Pay Order,94474,"{""order157""}",{},{},1033
Place Order,94743,"{""order158""}","{""item316"",""item317""}",{},1034
Confirm Order,94744,"{""order158""}","{""item316"",""item317""}",{},1035
Item out of stock,95050,{},"{""item317""}",{},1036
Reorder Item,95051,{},"{""item317""}",{},1037
Pay Order,95051,"{""order158""}",{},{},1038
Pick Item,95051,{},"{""item316""}",{},1039
Load Cargo,95098,{},"{""item308"",""item310""}","{""delivery57""}",1040
Place Order,95324,"{""order159""}","{""item318"",""item319""}",{},1041
Confirm Order,95325,"{""order159""}","{""item318"",""item319""}",{},1042
Payment Reminder,95638,"{""order159""}",{},{},1043
Pick Item,95638,{},"{""item319""}",{},1044
Pick Item,95638,{},"{""item318""}",{},1045
Place Order,95889,"{""order160""}","{""item321"",""item320""}",{},1046
Confirm Order,95890,"{""order160""}","{""item321"",""item320""}",{},1047
Pay Order,96194,"{""order160""}",{},{},1048
Item out of stock,96193,{},"{""item320""}",{},1049
Pick Item,96194,{},"{""item321""}",{},1050
Reorder Item,96194,{},"{""item320""}",{},1051
Place Order,96452,"{""order161""}","{""item323"",""item322""}",{},1052
Confirm Order,96453,"{""order161""}","{""item323"",""item322""}",{},1053
Payment Reminder,96770,"{""order161""}",{},{},1054
Item out of stock,96769,{},"{""item323""}",{},1055
Item out of stock,96769,{},"{""item322""}",{},1056
Reorder Item,96770,{},"{""item322""}",{},1057
Reorder Item,96770,{},"{""item323""}",{},1058
Place Order,97076,"{""order162""}","{""item325"",""item324""}",{},1059
Confirm Order,97077,"{""order162""}","{""item325"",""item324""}",{},1060
Pay Order,97415,"{""order162""}",{},{},1061
Item out of stock,97414,{},"{""item324""}",{},1062
Reorder Item,97415,{},"{""item324""}",{},1063
Pick Item,97415,{},"{""item325""}",{},1064
Load Cargo,97438,{},"{""item318"",""item316""}","{""delivery135""}",1065
Place Order,97693,"{""order163""}","{""item326"",""item327""}",{},1066
Confirm Order,97694,"{""order163""}","{""item326"",""item327""}",{},1067
Load Cargo,97977,{},"{""item319"",""item321""}","{""delivery46""}",1068
Item out of stock,98007,{},"{""item327""}",{},1069
Pick Item,98008,{},"{""item326""}",{},1070
Pay Order,98008,"{""order163""}",{},{},1071
Reorder Item,98008,{},"{""item327""}",{},1072
Place Order,98266,"{""order164""}","{""item329"",""item328""}",{},1073
Confirm Order,98267,"{""order164""}","{""item329"",""item328""}",{},1074
Pay Order,98602,"{""order164""}",{},{},1075
Item out of stock,98601,{},"{""item329""}",{},1076
Reorder Item,98602,{},"{""item329""}",{},1077
Pick Item,98602,{},"{""item328""}",{},1078
Place Order,98905,"{""order165""}","{""item331"",""item330""}",{},1079
Confirm Order,98906,"{""order165""}","{""item331"",""item330""}",{},1080
Item out of stock,99242,{},"{""item331""}",{},1081
Reorder Item,99243,{},"{""item331""}",{},1082
Payment Reminder,99243,"{""order165""}",{},{},1083
Item out of stock,99242,{},"{""item330""}",{},1084
Reorder Item,99243,{},"{""item330""}",{},1085
Place Order,99529,"{""order166""}","{""item333"",""item332""}",{},1086
Confirm Order,99530,"{""order166""}","{""item333"",""item332""}",{},1087
Payment Reminder,99842,"{""order166""}",{},{},1088
Item out of stock,99841,{},"{""item333""}",{},1089
Pick Item,99842,{},"{""item332""}",{},1090
Reorder Item,99842,{},"{""item333""}",{},1091
Load Cargo,99862,{},"{""item326"",""item325""}","{""delivery49""}",1092
Place Order,100122,"{""order167""}","{""item334"",""item335""}",{},1093
Confirm Order,100123,"{""order167""}","{""item334"",""item335""}",{},1094
Pay Order,100427,"{""order167""}",{},{},1095
Item out of stock,100426,{},"{""item335""}",{},1096
Item out of stock,100426,{},"{""item334""}",{},1097
Reorder Item,100427,{},"{""item335""}",{},1098
Reorder Item,100427,{},"{""item334""}",{},1099
Place Order,100709,"{""order168""}","{""item336"",""item337""}",{},1100
Confirm Order,100710,"{""order168""}","{""item336"",""item337""}",{},1101
Item out of stock,101035,{},"{""item336""}",{},1102
Payment Reminder,101036,"{""order168""}",{},{},1103
Reorder Item,101036,{},"{""item336""}",{},1104
Pick Item,101036,{},"{""item337""}",{},1105
Place Order,101283,"{""order169""}","{""item339"",""item338""}",{},1106
Confirm Order,101284,"{""order169""}","{""item339"",""item338""}",{},1107
Pay Order,101583,"{""order169""}",{},{},1108
Pick Item,101583,{},"{""item338""}",{},1109
Pick Item,101583,{},"{""item339""}",{},1110
Load Cargo,101637,{},"{""item328"",""item332""}","{""delivery125""}",1111
Place Order,101874,"{""order170""}","{""item341"",""item340""}",{},1112
Confirm Order,101875,"{""order170""}","{""item341"",""item340""}",{},1113
Pay Order,102150,"{""order170""}",{},{},1114
Pick Item,102150,{},"{""item340""}",{},1115
Pick Item,102150,{},"{""item341""}",{},1116
Place Order,102473,"{""order171""}","{""item342"",""item343""}",{},1117
Confirm Order,102474,"{""order171""}","{""item342"",""item343""}",{},1118
Item out of stock,102779,{},"{""item343""}",{},1119
Pay Order,102780,"{""order171""}",{},{},1120
Pick Item,102780,{},"{""item342""}",{},1121
Reorder Item,102780,{},"{""item343""}",{},1122
Place Order,103069,"{""order172""}","{""item344"",""item345""}",{},1123
Confirm Order,103070,"{""order172""}","{""item344"",""item345""}",{},1124
Pay Order,103385,"{""order172""}",{},{},1125
Item out of stock,103384,{},"{""item345""}",{},1126
Reorder Item,103385,{},"{""item345""}",{},1127
Item out of stock,103384,{},"{""item344""}",{},1128
Reorder Item,103385,{},"{""item344""}",{},1129
Load Cargo,103395,{},"{""item339"",""item337""}","{""delivery88""}",1130
Place Order,103650,"{""order173""}","{""item347"",""item346""}",{},1131
Confirm Order,103651,"{""order173""}","{""item347"",""item346""}",{},1132
Payment Reminder,103936,"{""order173""}",{},{},1133
Item out of stock,103935,{},"{""item346""}",{},1134
Load Cargo,103936,{},"{""item338"",""item341""}","{""delivery141""}",1135
Pick Item,103936,{},"{""item347""}",{},1136
Reorder Item,103936,{},"{""item346""}",{},1137
Place Order,104287,"{""order174""}","{""item348"",""item349""}",{},1138
Confirm Order,104288,"{""order174""}","{""item348"",""item349""}",{},1139
Load Cargo,104601,{},"{""item340"",""item342""}","{""delivery47""}",1140
Pay Order,104606,"{""order174""}",{},{},1141
Pick Item,104606,{},"{""item349""}",{},1142
Item out of stock,104605,{},"{""item348""}",{},1143
Reorder Item,104606,{},"{""item348""}",{},1144
Place Order,104924,"{""order175""}","{""item351"",""item350""}",{},1145
Confirm Order,104925,"{""order175""}","{""item351"",""item350""}",{},1146
Payment Reminder,105197,"{""order175""}",{},{},1147
Pick Item,105197,{},"{""item350""}",{},1148
Pick Item,105197,{},"{""item351""}",{},1149
Place Order,105513,"{""order176""}","{""item353"",""item352""}",{},1150
Confirm Order,105514,"{""order176""}","{""item353"",""item352""}",{},1151
Pay Order,105845,"{""order176""}",{},{},1152
Item out of stock,105844,{},"{""item353""}",{},1153
Pick Item,105845,{},"{""item352""}",{},1154
Reorder Item,105845,{},"{""item353""}",{},1155
Place Order,106133,"{""order177""}","{""item354"",""item355""}",{},1156
Confirm Order,106134,"{""order177""}","{""item354"",""item355""}",{},1157
Payment Reminder,106424,"{""order177""}",{},{},1158
Item out of stock,106423,{},"{""item354""}",{},1159
Item out of stock,106423,{},"{""item355""}",{},1160
Reorder Item,106424,{},"{""item354""}",{},1161
Reorder Item,106424,{},"{""item355""}",{},1162
Load Cargo,106486,{},"{""item347"",""item349""}","{""delivery133""}",1163
Place Order,106734,"{""order178""}","{""item357"",""item356""}",{},1164
Confirm Order,106735,"{""order178""}","{""item357"",""item356""}",{},1165
Load Cargo,107026,{},"{""item350"",""item351""}","{""delivery144""}",1166
Payment Reminder,107071,"{""order178""}",{},{},1167
Pick Item,107071,{},"{""item357""}",{},1168
Pick Item,107071,{},"{""item356""}",{},1169
Place Order,107313,"{""order179""}","{""item359"",""item358""}",{},1170
Confirm Order,107314,"{""order179""}","{""item359"",""item358""}",{},1171
Item out of stock,107629,{},"{""item359""}",{},1172
Reorder Item,107630,{},"{""item359""}",{},1173
Pick Item,107630,{},"{""item358""}",{},1174
Payment Reminder,107630,"{""order179""}",{},{},1175
Place Order,107898,"{""order180""}","{""item360"",""item361""}",{},1176
Confirm Order,107899,"{""order180""}","{""item360"",""item361""}",{},1177
Item out of stock,108207,{},"{""item361""}",{},1178
Reorder Item,108208,{},"{""item361""}",{},1179
Pay Order,108208,"{""order180""}",{},{},1180
Pick Item,108208,{},"{""item360""}",{},1181
Place Order,108459,"{""order181""}","{""item362"",""item363""}",{},1182
Confirm Order,108460,"{""order181""}","{""item362"",""item363""}",{},1183
Pay Order,108784,"{""order181""}",{},{},1184
Pick Item,108784,{},"{""item363""}",{},1185
Pick Item,108784,{},"{""item362""}",{},1186
Load Cargo,108870,{},"{""item352"",""item356""}","{""delivery75""}",1187
Place Order,109037,"{""order182""}","{""item365"",""item364""}",{},1188
Confirm Order,109038,"{""order182""}","{""item365"",""item364""}",{},1189
Payment Reminder,109331,"{""order182""}",{},{},1190
Item out of stock,109330,{},"{""item365""}",{},1191
Pick Item,109331,{},"{""item364""}",{},1192
Reorder Item,109331,{},"{""item365""}",{},1193
Load Cargo,109469,{},"{""item357"",""item358""}","{""delivery86""}",1194
Place Order,109615,"{""order183""}","{""item367"",""item366""}",{},1195
Confirm Order,109616,"{""order183""}","{""item367"",""item366""}",{},1196
Payment Reminder,109916,"{""order183""}",{},{},1197
Item out of stock,109915,{},"{""item366""}",{},1198
Item out of stock,109915,{},"{""item367""}",{},1199
Reorder Item,109916,{},"{""item366""}",{},1200
Reorder Item,109916,{},"{""item367""}",{},1201
Place Order,110203,"{""order184""}","{""item368"",""item369""}",{},1202
Confirm Order,110204,"{""order184""}","{""item368"",""item369""}",{},1203
Item out of stock,110503,{},"{""item368""}",{},1204
Pay Order,110504,"{""order184""}",{},{},1205
Pick Item,110504,{},"{""item369""}",{},1206
Reorder Item,110504,{},"{""item368""}",{},1207
Load Cargo,110606,{},"{""item360"",""item362""}","{""delivery174""}",1208
Place Order,110824,"{""order185""}","{""item371"",""item370""}",{},1209
Confirm Order,110825,"{""order185""}","{""item371"",""item370""}",{},1210
Payment Reminder,111123,"{""order185""}",{},{},1211
Pick Item,111123,{},"{""item371""}",{},1212
Item out of stock,111122,{},"{""item370""}",{},1213
Reorder Item,111123,{},"{""item370""}",{},1214
Load Cargo,111151,{},"{""item364"",""item363""}","{""delivery18""}",1215
Place Order,111408,"{""order186""}","{""item372"",""item373""}",{},1216
Confirm Order,111409,"{""order186""}","{""item372"",""item373""}",{},1217
Pay Order,111693,"{""order186""}",{},{},1218
Pick Item,111693,{},"{""item372""}",{},1219
Pick Item,111693,{},"{""item373""}",{},1220
Place Order,111989,"{""order187""}","{""item374"",""item375""}",{},1221
Confirm Order,111990,"{""order187""}","{""item374"",""item375""}",{},1222
Item out of stock,112307,{},"{""item374""}",{},1223
Pay Order,112308,"{""order187""}",{},{},1224
Pick Item,112308,{},"{""item375""}",{},1225
Reorder Item,112308,{},"{""item374""}",{},1226
Place Order,112589,"{""order188""}","{""item377"",""item376""}",{},1227
Confirm Order,112590,"{""order188""}","{""item377"",""item376""}",{},1228
Payment Reminder,112880,"{""order188""}",{},{},1229
Item out of stock,112879,{},"{""item376""}",{},1230
Pick Item,112880,{},"{""item377""}",{},1231
Reorder Item,112880,{},"{""item376""}",{},1232
Load Cargo,112939,{},"{""item369"",""item371""}","{""delivery147""}",1233
Place Order,113181,"{""order189""}","{""item378"",""item379""}",{},1234
Confirm Order,113182,"{""order189""}","{""item378"",""item379""}",{},1235
Payment Reminder,113502,"{""order189""}",{},{},1236
Pick Item,113502,{},"{""item379""}",{},1237
Item out of stock,113501,{},"{""item378""}",{},1238
Reorder Item,113502,{},"{""item378""}",{},1239
Load Cargo,113537,{},"{""item372"",""item373""}","{""delivery139""}",1240
Place Order,113800,"{""order190""}","{""item380"",""item381""}",{},1241
Confirm Order,113801,"{""order190""}","{""item380"",""item381""}",{},1242
Item out of stock,114111,{},"{""item380""}",{},1243
Item out of stock,114111,{},"{""item381""}",{},1244
Pay Order,114112,"{""order190""}",{},{},1245
Reorder Item,114112,{},"{""item381""}",{},1246
Reorder Item,114112,{},"{""item380""}",{},1247
Place Order,114407,"{""order191""}","{""item383"",""item382""}",{},1248
Confirm Order,114408,"{""order191""}","{""item383"",""item382""}",{},1249
Pay Order,114717,"{""order191""}",{},{},1250
Pick Item,114717,{},"{""item382""}",{},1251
Pick Item,114717,{},"{""item383""}",{},1252
Load Cargo,114764,{},"{""item375"",""item377""}","{""delivery43""}",1253
Place Order,115062,"{""order192""}","{""item385"",""item384""}",{},1254
Confirm Order,115063,"{""order192""}","{""item385"",""item384""}",{},1255
Payment Reminder,115375,"{""order192""}",{},{},1256
Pick Item,115375,{},"{""item384""}",{},1257
Pick Item,115375,{},"{""item385""}",{},1258
Place Order,115654,"{""order193""}","{""item386"",""item387""}",{},1259
Confirm Order,115655,"{""order193""}","{""item386"",""item387""}",{},1260
Payment Reminder,115947,"{""order193""}",{},{},1261
Item out of stock,115946,{},"{""item387""}",{},1262
Item out of stock,115946,{},"{""item386""}",{},1263
Reorder Item,115947,{},"{""item386""}",{},1264
Reorder Item,115947,{},"{""item387""}",{},1265
Place Order,116235,"{""order194""}","{""item388"",""item389""}",{},1266
Confirm Order,116236,"{""order194""}","{""item388"",""item389""}",{},1267
Load Cargo,116512,{},"{""item379"",""item383""}","{""delivery137""}",1268
Item out of stock,116581,{},"{""item388""}",{},1269
Reorder Item,116582,{},"{""item388""}",{},1270
Payment Reminder,116582,"{""order194""}",{},{},1271
Pick Item,116582,{},"{""item389""}",{},1272
Place Order,116848,"{""order195""}","{""item390"",""item391""}",{},1273
Confirm Order,116849,"{""order195""}","{""item390"",""item391""}",{},1274
Payment Reminder,117144,"{""order195""}",{},{},1275
Pick Item,117144,{},"{""item390""}",{},1276
Item out of stock,117143,{},"{""item391""}",{},1277
Reorder Item,117144,{},"{""item391""}",{},1278
Load Cargo,117172,{},"{""item382"",""item385""}","{""delivery113""}",1279
Place Order,117464,"{""order196""}","{""item393"",""item392""}",{},1280
Confirm Order,117465,"{""order196""}","{""item393"",""item392""}",{},1281
Item out of stock,117796,{},"{""item392""}",{},1282
Pick Item,117797,{},"{""item393""}",{},1283
Pay Order,117797,"{""order196""}",{},{},1284
Reorder Item,117797,{},"{""item392""}",{},1285
Place Order,118057,"{""order197""}","{""item394"",""item395""}",{},1286
Confirm Order,118058,"{""order197""}","{""item394"",""item395""}",{},1287
Item out of stock,118364,{},"{""item394""}",{},1288
Reorder Item,118365,{},"{""item394""}",{},1289
Item out of stock,118364,{},"{""item395""}",{},1290
Payment Reminder,118365,"{""order197""}",{},{},1291
Reorder Item,118365,{},"{""item395""}",{},1292
Load Cargo,118387,{},"{""item384"",""item389""}","{""delivery123""}",1293
Place Order,118655,"{""order198""}","{""item397"",""item396""}",{},1294
Confirm Order,118656,"{""order198""}","{""item397"",""item396""}",{},1295
Pay Order,118961,"{""order198""}",{},{},1296
Item out of stock,118960,{},"{""item397""}",{},1297
Reorder Item,118961,{},"{""item397""}",{},1298
Pick Item,118961,{},"{""item396""}",{},1299
Place Order,119278,"{""order199""}","{""item399"",""item398""}",{},1300
Confirm Order,119279,"{""order199""}","{""item399"",""item398""}",{},1301
Load Cargo,119558,{},"{""item393"",""item390""}","{""delivery129""}",1302
Payment Reminder,119590,"{""order199""}",{},{},1303
Pick Item,119590,{},"{""item399""}",{},1304
Pick Item,119590,{},"{""item398""}",{},1305
Load Cargo,121331,{},"{""item398"",""item396""}","{""delivery124""}",1306
Pick Item,181119,{},"{""item5""}",{},1307
Payment Reminder,181881,"{""order3""}",{},{},1308
Pick Item,182227,{},"{""item6""}",{},1309
Pay Order,182266,"{""order4""}",{},{},1310
Pick Item,182391,{},"{""item7""}",{},1311
Pick Item,182520,{},"{""item8""}",{},1312
Pick Item,182670,{},"{""item9""}",{},1313
Load Cargo,183026,{},"{""item5"",""item399""}","{""delivery120""}",1314
Pick Item,184029,{},"{""item14""}",{},1315
Pay Order,184057,"{""order6""}",{},{},1316
Pick Item,184181,{},"{""item13""}",{},1317
Load Cargo,184225,{},"{""item7"",""item6""}","{""delivery84""}",1318
Load Cargo,184484,{},"{""item8"",""item9""}","{""delivery196""}",1319
Pay Order,184847,"{""order8""}",{},{},1320
Pick Item,185490,{},"{""item18""}",{},1321
Pick Item,185585,{},"{""item17""}",{},1322
Load Cargo,185931,{},"{""item13"",""item14""}","{""delivery101""}",1323
Pick Item,186370,{},"{""item22""}",{},1324
Pick Item,186647,{},"{""item23""}",{},1325
Pay Order,187240,"{""order11""}",{},{},1326
Load Cargo,187308,{},"{""item17"",""item18""}","{""delivery177""}",1327
Pick Item,187431,{},"{""item25""}",{},1328
Pick Item,187896,{},"{""item24""}",{},1329
Pick Item,188126,{},"{""item29""}",{},1330
Payment Reminder,188227,"{""order13""}",{},{},1331
Load Cargo,188470,{},"{""item22"",""item23""}","{""delivery134""}",1332
Payment Reminder,188500,"{""order14""}",{},{},1333
Payment Reminder,188638,"{""order16""}",{},{},1334
Pick Item,189018,{},"{""item31""}",{},1335
Pick Item,189364,{},"{""item30""}",{},1336
Pick Item,189594,{},"{""item32""}",{},1337
Load Cargo,189759,{},"{""item24"",""item25""}","{""delivery105""}",1338
Pay Order,190477,"{""order17""}",{},{},1339
Pick Item,190553,{},"{""item36""}",{},1340
Pay Order,190728,"{""order18""}",{},{},1341
Load Cargo,190745,{},"{""item31"",""item29""}","{""delivery154""}",1342
Pick Item,191374,{},"{""item34""}",{},1343
Load Cargo,191421,{},"{""item30"",""item32""}","{""delivery153""}",1344
Pick Item,191842,{},"{""item40""}",{},1345
Pick Item,192307,{},"{""item43""}",{},1346
Pick Item,192336,{},"{""item42""}",{},1347
Pick Item,192555,{},"{""item39""}",{},1348
Pick Item,193029,{},"{""item45""}",{},1349
Load Cargo,193218,{},"{""item36"",""item34""}","{""delivery189""}",1350
Pick Item,193608,{},"{""item46""}",{},1351
Pick Item,193695,{},"{""item47""}",{},1352
Load Cargo,194101,{},"{""item43"",""item40""}","{""delivery150""}",1353
Load Cargo,194345,{},"{""item39"",""item42""}","{""delivery17""}",1354
Pick Item,194633,{},"{""item50""}",{},1355
Load Cargo,195396,{},"{""item46"",""item45""}","{""delivery19""}",1356
Payment Reminder,195628,"{""order26""}",{},{},1357
Pick Item,195731,{},"{""item53""}",{},1358
Load Cargo,196485,{},"{""item47"",""item50""}","{""delivery130""}",1359
Payment Reminder,196617,"{""order27""}",{},{},1360
Pick Item,196863,{},"{""item58""}",{},1361
Pick Item,198312,{},"{""item63""}",{},1362
Payment Reminder,198338,"{""order31""}",{},{},1363
Load Cargo,198751,{},"{""item53"",""item58""}","{""delivery192""}",1364
Pay Order,200013,"{""order32""}",{},{},1365
Pay Order,200130,"{""order33""}",{},{},1366
Pay Order,200438,"{""order34""}",{},{},1367
Pick Item,201087,{},"{""item71""}",{},1368
Pick Item,201203,{},"{""item73""}",{},1369
Pick Item,201235,{},"{""item70""}",{},1370
Pick Item,201365,{},"{""item68""}",{},1371
Payment Reminder,201542,"{""order36""}",{},{},1372
Start Route,201671,{},"{""item39"",""item42""}","{""delivery17""}",1373
Pick Item,201908,{},"{""item72""}",{},1374
Pick Item,202779,{},"{""item75""}",{},1375
Pick Item,202871,{},"{""item74""}",{},1376
Load Cargo,202880,{},"{""item63"",""item71""}","{""delivery116""}",1377
Payment Reminder,202980,"{""order38""}",{},{},1378
Pick Item,202988,{},"{""item77""}",{},1379
Load Cargo,203117,{},"{""item68"",""item73""}","{""delivery194""}",1380
Pick Item,203230,{},"{""item76""}",{},1381
Load Cargo,203765,{},"{""item70"",""item72""}","{""delivery142""}",1382
Pick Item,203937,{},"{""item79""}",{},1383
Pick Item,204005,{},"{""item78""}",{},1384
Pick Item,204159,{},"{""item82""}",{},1385
Pick Item,204538,{},"{""item81""}",{},1386
Pick Item,204546,{},"{""item83""}",{},1387
Load Cargo,204660,{},"{""item74"",""item75""}","{""delivery60""}",1388
Load Cargo,205034,{},"{""item76"",""item77""}","{""delivery118""}",1389
Pay Order,205664,"{""order43""}",{},{},1390
Load Cargo,205858,{},"{""item78"",""item79""}","{""delivery108""}",1391
Load Cargo,206282,{},"{""item82"",""item81""}","{""delivery167""}",1392
Pick Item,206832,{},"{""item91""}",{},1393
Pay Order,207848,"{""order46""}",{},{},1394
Pick Item,208201,{},"{""item94""}",{},1395
Payment Reminder,208221,"{""order45""}",{},{},1396
Pick Item,208345,{},"{""item92""}",{},1397
Load Cargo,208647,{},"{""item83"",""item91""}","{""delivery162""}",1398
Pick Item,208663,{},"{""item95""}",{},1399
Pick Item,208771,{},"{""item97""}",{},1400
Pick Item,209265,{},"{""item96""}",{},1401
Pick Item,209519,{},"{""item98""}",{},1402
Payment Reminder,209676,"{""order49""}",{},{},1403
Pick Item,210086,{},"{""item101""}",{},1404
Load Cargo,210190,{},"{""item94"",""item92""}","{""delivery111""}",1405
Pick Item,210269,{},"{""item100""}",{},1406
Payment Reminder,210519,"{""order50""}",{},{},1407
Load Cargo,210603,{},"{""item95"",""item97""}","{""delivery182""}",1408
Pick Item,211189,{},"{""item102""}",{},1409
Load Cargo,211352,{},"{""item96"",""item98""}","{""delivery81""}",1410
Payment Reminder,211603,"{""order52""}",{},{},1411
Pay Order,211859,"{""order53""}",{},{},1412
Pick Item,211950,{},"{""item104""}",{},1413
Load Cargo,212094,{},"{""item101"",""item100""}","{""delivery146""}",1414
Pick Item,212138,{},"{""item105""}",{},1415
Pick Item,212277,{},"{""item108""}",{},1416
Pick Item,212446,{},"{""item109""}",{},1417
Payment Reminder,212912,"{""order54""}",{},{},1418
Pay Order,213124,"{""order55""}",{},{},1419
Pick Item,213707,{},"{""item113""}",{},1420
Load Cargo,213799,{},"{""item102"",""item104""}","{""delivery72""}",1421
Load Cargo,214089,{},"{""item105"",""item108""}","{""delivery164""}",1422
Pick Item,214092,{},"{""item115""}",{},1423
Payment Reminder,214259,"{""order57""}",{},{},1424
Payment Reminder,214772,"{""order58""}",{},{},1425
Pick Item,215190,{},"{""item118""}",{},1426
Pay Order,215360,"{""order59""}",{},{},1427
Load Cargo,215489,{},"{""item109"",""item113""}","{""delivery168""}",1428
Pick Item,216026,{},"{""item120""}",{},1429
Pick Item,216120,{},"{""item121""}",{},1430
Pick Item,216833,{},"{""item122""}",{},1431
Load Cargo,216972,{},"{""item118"",""item115""}","{""delivery138""}",1432
Pay Order,217054,"{""order61""}",{},{},1433
Load Cargo,217901,{},"{""item120"",""item121""}","{""delivery71""}",1434
Pay Order,218933,"{""order65""}",{},{},1435
End Route,219442,{},"{""item39"",""item42""}","{""delivery17""}",1436
Pick Item,219527,{},"{""item131""}",{},1437
Pick Item,219529,{},"{""item132""}",{},1438
Payment Reminder,219538,"{""order66""}",{},{},1439
Pick Item,220213,{},"{""item136""}",{},1440
Pick Item,220575,{},"{""item137""}",{},1441
Pick Item,220893,{},"{""item134""}",{},1442
Pick Item,221149,{},"{""item135""}",{},1443
Payment Reminder,221182,"{""order67""}",{},{},1444
Load Cargo,221317,{},"{""item122"",""item132""}","{""delivery156""}",1445
Payment Reminder,221923,"{""order70""}",{},{},1446
Pick Item,221999,{},"{""item138""}",{},1447
Load Cargo,222078,{},"{""item136"",""item131""}","{""delivery99""}",1448
Pick Item,222155,{},"{""item139""}",{},1449
Pick Item,222492,{},"{""item141""}",{},1450
Load Cargo,222666,{},"{""item137"",""item134""}","{""delivery109""}",1451
Pick Item,222837,{},"{""item143""}",{},1452
Pick Item,222983,{},"{""item140""}",{},1453
Pick Item,223240,{},"{""item142""}",{},1454
Load Cargo,223733,{},"{""item135"",""item138""}","{""delivery151""}",1455
Pick Item,223921,{},"{""item146""}",{},1456
Pick Item,224130,{},"{""item144""}",{},1457
Load Cargo,224232,{},"{""item141"",""item139""}","{""delivery186""}",1458
Pay Order,224304,"{""order73""}",{},{},1459
Load Cargo,224833,{},"{""item143"",""item140""}","{""delivery175""}",1460
Pick Item,225258,{},"{""item148""}",{},1461
Pay Order,225556,"{""order76""}",{},{},1462
Load Cargo,225663,{},"{""item146"",""item142""}","{""delivery9""}",1463
Pay Order,225701,"{""order75""}",{},{},1464
Pick Item,225716,{},"{""item151""}",{},1465
Pick Item,226622,{},"{""item153""}",{},1466
Load Cargo,227020,{},"{""item144"",""item148""}","{""delivery90""}",1467
Pay Order,227449,"{""order79""}",{},{},1468
Pick Item,228170,{},"{""item159""}",{},1469
Load Cargo,228459,{},"{""item153"",""item151""}","{""delivery157""}",1470
Payment Reminder,228652,"{""order81""}",{},{},1471
Payment Reminder,228708,"{""order80""}",{},{},1472
Pick Item,228977,{},"{""item161""}",{},1473
Payment Reminder,229227,"{""order83""}",{},{},1474
Fuel Car,230146,{},{},"{""delivery46""}",1475
Pick Item,230180,{},"{""item165""}",{},1476
Payment Reminder,230224,"{""order82""}",{},{},1477
Pick Item,230463,{},"{""item168""}",{},1478
Load Cargo,230816,{},"{""item159"",""item161""}","{""delivery127""}",1479
Pick Item,231035,{},"{""item166""}",{},1480
Pick Item,231277,{},"{""item170""}",{},1481
Pay Order,231639,"{""order84""}",{},{},1482
Start Route,231676,{},"{""item319"",""item321""}","{""delivery46""}",1483
Pick Item,232031,{},"{""item171""}",{},1484
Pick Item,232131,{},"{""item172""}",{},1485
Pick Item,232270,{},"{""item174""}",{},1486
Load Cargo,232312,{},"{""item168"",""item165""}","{""delivery34""}",1487
Pay Order,232339,"{""order86""}",{},{},1488
Load Cargo,233148,{},"{""item166"",""item170""}","{""delivery160""}",1489
Pick Item,233281,{},"{""item176""}",{},1490
Pay Order,233385,"{""order88""}",{},{},1491
Load Cargo,233900,{},"{""item172"",""item171""}","{""delivery155""}",1492
Payment Reminder,233928,"{""order89""}",{},{},1493
Pick Item,234049,{},"{""item177""}",{},1494
Pick Item,234856,{},"{""item181""}",{},1495
Payment Reminder,235096,"{""order91""}",{},{},1496
Load Cargo,235132,{},"{""item176"",""item174""}","{""delivery180""}",1497
Pick Item,235203,{},"{""item182""}",{},1498
Pick Item,236288,{},"{""item184""}",{},1499
Pay Order,236388,"{""order93""}",{},{},1500
Pick Item,236430,{},"{""item186""}",{},1501
Pick Item,236457,{},"{""item187""}",{},1502
Load Cargo,236705,{},"{""item177"",""item181""}","{""delivery191""}",1503
Pick Item,236994,{},"{""item191""}",{},1504
Load Cargo,238136,{},"{""item184"",""item182""}","{""delivery181""}",1505
Load Cargo,238258,{},"{""item187"",""item186""}","{""delivery91""}",1506
Pick Item,239733,{},"{""item198""}",{},1507
